GY-511 Ready.
-1,-1,-6401,0.00,0.00,-426.60,194,256,122,8.58,14.23,42.43,58.91
-15872,31232,1,-1058.20,2082.00,-767.88,198,257,125,28.31,41.71,85.66,50.43
-14848,32000,257,-2894.56,5881.00,-1023.70,199,250,140,57.17,79.23,130.63,44.03
-14592,-29696,-1536,-5336.45,6940.40,-904.16,195,249,146,80.25,108.87,168.37,30.72
-15616,-28160,-1792,-7272.76,3828.72,-927.93,189,256,156,98.13,132.40,200.78,10.22
-17152,-25600,1,-8975.41,-2500.62,-964.14,189,254,136,111.85,151.60,226.48,20.70
-17152,-30720,-512,-10508.33,-7632.50,-924.72,191,253,142,122.43,167.14,246.60,-5.55
-16640,-29184,-768,-11802.86,-11806.20,-824.97,191,251,142,131.10,179.20,261.81,-16.09
-16640,-29184,-1280,-12804.29,-15384.16,-830.58,190,251,142,138.03,188.67,274.42,-21.78
-16896,-29184,-1280,-13588.43,-18144.13,-886.26,190,250,141,143.57,196.05,284.29,-24.82
-16896,-29440,-1536,-14232.75,-20369.10,-982.01,190,250,136,148.01,201.95,291.74,-26.64
-16896,-30720,-1536,-14765.40,-22251.48,-1075.61,191,251,138,151.56,206.68,297.49,-27.92
-16640,-30208,-1280,-15174.32,-23825.59,-1150.49,173,261,130,153.22,211.21,301.19,-29.03
-21248,-32256,1281,-15791.65,-25272.67,-1022.59,152,270,121,152.22,215.95,303.06,-30.05
-26624,30976,3585,-16934.12,-22317.34,-579.07,98,285,123,145.37,222.00,303.44,-26.33
25088,31488,7425,-15066.10,-15840.07,356.14,81,290,124,133.85,228.51,303.31,-23.44
20736,31744,8705,-10772.88,-6391.66,1599.11,73,291,129,119.56,235.04,303.86,-19.19
18688,-32512,8961,-4317.50,-3065.33,2951.89,86,286,144,107.35,240.45,305.85,-42.26
22016,-28672,7681,642.00,-4414.86,4051.31,50,296,147,95.43,245.15,309.22,-81.19
12800,-27904,10241,4080.40,-9471.09,5033.25,-16,301,147,80.25,249.47,313.23,-95.19
-3841,-27904,11521,5329.32,-13208.87,5989.40,-65,294,159,58.35,253.49,317.55,-97.90
-16385,-24832,9729,3768.45,-15943.10,6890.92,-68,285,160,33.22,255.96,321.88,-95.15
-17153,-24576,7425,522.96,-17908.48,7424.34,-72,283,157,9.42,256.81,326.02,-89.91
-18177,-25344,6913,-3029.23,-19310.18,7543.87,-91,276,153,-11.38,256.36,328.88,-84.79
-23041,-26368,5121,-6314.78,-20533.95,7332.30,-108,268,152,-30.55,254.89,330.73,-80.94
-27393,-26624,3073,-9625.83,-21649.56,6872.84,-122,263,154,-49.21,252.58,331.99,-77.69
-30977,-26112,1793,-13128.06,-22593.25,6164.07,-127,260,152,-66.47,249.61,332.78,-74.48
-32257,-26624,1025,-16544.25,-23365.20,5323.86,-136,260,154,-82.04,246.87,333.63,-71.65
30975,-26112,1025,-15386.00,-23948.56,4515.28,-139,251,155,-95.66,243.92,334.31,-75.35
30207,-25856,-1280,-10380.60,-24398.25,3663.43,-146,250,153,-107.73,240.81,335.07,-85.42
28415,-26368,-1536,-2331.48,-24741.00,2811.34,-144,250,154,-117.97,237.76,335.68,-103.11
28927,-26112,-1536,3971.42,-25015.20,1959.07,-144,255,157,-126.35,235.51,336.17,-118.28
28927,-25344,-256,8928.33,-25200.36,1345.46,-138,254,158,-132.67,234.09,337.01,-129.75
30463,-25088,-512,13030.47,-25263.09,922.77,-133,256,157,-136.95,233.32,337.89,-138.35
31743,-25344,1,16499.77,-25262.07,687.21,-131,257,165,-139.59,232.71,339.27,-144.71
32255,-23296,257,19497.22,-25124.86,532.97,-128,260,160,-140.92,232.59,340.37,-149.64
-32513,-24576,1025,17696.78,-24980.89,511.78,-119,267,165,-141.21,233.25,341.91,-147.13
-30209,-23296,2817,12126.42,-24729.11,682.62,-122,265,165,-140.85,234.33,343.14,-137.70
-30977,-23296,2305,3454.54,-24527.69,955.90,-107,278,174,-139.20,236.33,345.23,-119.30
-27137,-20992,5633,-3124.57,-24127.75,1481.72,-112,271,172,-137.30,238.11,347.35,-103.70
-28417,-21504,3841,-8268.26,-23688.20,1970.57,-74,287,180,-132.65,240.84,350.15,-91.49
-18689,-19456,7937,-11564.01,-23080.56,2737.06,0,324,169,-122.11,246.03,351.94,-83.17
0,-22272,17409,-12391.61,-22679.85,4135.45,48,328,172,-103.15,253.73,353.38,-79.17
12288,-21504,18433,-10339.88,-22359.28,6226.96,180,304,146,-71.60,260.83,352.10,-79.19
-19456,-28160,12289,-8749.71,-22683.03,8190.17,264,261,126,-29.20,262.58,347.98,-77.34
2049,32256,1281,-7340.97,-19306.82,8685.53,374,140,66,25.78,252.37,336.73,-70.76
30209,16896,-29696,-5019.37,-14046.06,5873.43,406,52,27,84.58,228.48,319.11,-62.30
-27135,6912,13312,-3674.10,-7499.24,3691.94,417,-37,-20,141.57,190.64,294.18,-47.93
-24319,-4865,-9217,-4355.48,-4736.60,1246.95,377,-184,-97,187.36,140.35,262.31,-18.45
30977,-24577,18687,-4849.38,-5291.28,2516.36,367,-203,-112,221.45,84.20,226.64,-11.89
28417,-28417,13823,-1541.31,-8090.22,3565.89,361,-205,-113,245.02,28.80,191.26,-27.95
26881,-28673,13311,4518.55,-11916.58,5907.31,361,-210,-116,262.90,-17.21,161.63,-46.18
26881,-29441,12031,9093.44,-15301.86,7336.85,337,-248,-123,275.26,-56.83,137.04,-48.57
20737,-31233,2303,12241.36,-18197.89,7712.48,336,-251,-128,283.39,-91.32,116.26,-47.01
20481,-32513,1535,14332.88,-20770.71,7227.78,333,-261,-127,288.13,-122.11,98.75,-44.86
19713,-32257,-1026,15528.31,-23016.77,5969.63,330,-264,-127,291.54,-147.67,84.53,-43.19
18945,-32257,-1794,16365.25,-24881.82,4690.10,324,-267,-131,293.49,-169.24,72.93,-41.86
17409,32255,-2562,16830.00,-22056.05,3393.28,324,-270,-131,294.46,-187.06,63.42,-44.99
17409,32255,-3330,17048.20,-15494.64,2202.23,318,-278,-133,294.46,-202.06,55.38,-54.67
15873,31743,-5378,17017.96,-5978.91,1010.58,320,-277,-130,294.07,-214.82,48.94,-78.28
16385,32511,-5122,16925.37,1650.67,-113.54,311,-279,-137,292.97,-225.58,43.35,93.00
14081,30719,-5634,16629.49,7651.94,-1166.43,314,-282,-135,291.90,-234.38,38.66,70.02
14849,31231,-6402,16324.60,12418.95,-2076.94,300,-291,-139,289.68,-242.35,34.24,54.09
11265,30207,-8706,15739.28,16078.96,-3044.35,290,-304,-137,286.54,-250.23,30.71,42.60
8705,30719,-12034,14912.62,19006.97,-4244.88,293,-300,-138,282.66,-257.65,27.66,32.64
9473,30463,-11010,13892.90,21298.17,-5512.51,289,-306,-141,278.78,-264.53,25.22,23.90
8449,29695,-12546,12889.32,23096.94,-6782.61,290,-307,-140,275.67,-270.22,23.05,16.38
8705,29951,-12802,12086.46,24484.75,-7849.88,284,-308,-140,272.60,-275.33,21.09,10.61
7169,29951,-13058,11290.56,25560.80,-8840.31,286,-311,-140,269.95,-279.61,19.53,5.65
7681,29951,-13826,10602.65,26438.84,-9717.85,287,-310,-141,267.64,-283.21,18.27,1.61
7937,29695,-13570,10001.12,27124.08,-10471.08,284,-316,-145,265.79,-286.66,16.83,-1.80
7169,28671,-15106,9519.90,27587.06,-11210.26,272,-316,-145,263.52,-289.80,15.45,-4.90
